                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0355,                 1.7749,                 1.0489,                0.00556,                0.00885,                0.00025,                  7e-05,                0.97703,                 2.3394,                0.65618,             0.00065882,             0.00065882,             0.00065882
                      2,                 1.0083,                  0.775,                 1.0087,                0.03782,                 0.0059,                0.00122,                0.00037,                0.97391,                 1.7554,                0.68807,              0.0012927,              0.0012927,              0.0012927
                      3,                0.99139,                0.74313,                0.98751,                0.00943,                 0.0059,                0.00055,                0.00018,                0.94231,                 1.6332,                0.64538,              0.0018935,              0.0018935,              0.0018935
                      4,                0.96187,                0.69339,                0.97756,                0.03623,                 0.0118,                0.00183,                0.00051,                 0.9016,                 1.8514,                0.64158,              0.0018515,              0.0018515,              0.0018515
                      5,                0.91176,                0.63674,                0.96818,                0.03685,                 0.0295,                0.00481,                0.00119,                 0.8472,                  1.273,                0.62534,               0.001802,               0.001802,               0.001802
                      6,                 0.9249,                0.63683,                0.97219,                 0.0668,                0.06195,                0.00728,                0.00151,                 0.8999,                 1.4537,                 0.6455,              0.0017525,              0.0017525,              0.0017525
                      7,                0.90619,                0.60291,                0.95897,                0.12653,                0.13569,                0.02685,                0.01003,                0.93924,                 1.2131,                0.63934,               0.001703,               0.001703,               0.001703
                      8,                0.86302,                0.57748,                0.95263,                0.08121,                 0.0531,                0.00983,                0.00159,                0.87675,                 1.2271,                0.63303,              0.0016535,              0.0016535,              0.0016535
                      9,                0.83673,                0.56158,                0.94017,                0.16431,                0.16519,                0.04542,                0.02123,                0.82216,                 1.0228,                 0.6011,               0.001604,               0.001604,               0.001604
                     10,                0.82866,                 0.5431,                0.93435,                0.07555,                 0.0826,                0.01103,                0.00266,                0.72534,                  1.085,                0.59247,              0.0015545,              0.0015545,              0.0015545
                     11,                  0.788,                 0.5232,                0.91454,                 0.0802,                 0.0826,                0.01095,                 0.0034,                0.75098,                 1.0023,                 0.6075,               0.001505,               0.001505,               0.001505
                     12,                0.79769,                0.51723,                0.92121,                0.32703,                0.32448,                0.17234,                0.10665,                0.78709,                0.95261,                0.59511,              0.0014555,              0.0014555,              0.0014555
                     13,                0.75652,                0.49672,                0.90725,                0.16212,                0.16814,                0.05387,                0.02297,                0.71364,                0.95723,                0.58659,               0.001406,               0.001406,               0.001406
                     14,                0.74118,                0.49281,                0.90407,                0.20982,                0.21239,                0.07257,                0.04129,                0.68676,                0.89065,                0.57926,              0.0013565,              0.0013565,              0.0013565
